사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022030700100242,2022년 3월 7일 15시,월요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,승용,여,45세,상해없음,보행자,남,50세,경상
2022030700100264,2022년 3월 7일 16시,월요일,부산광역시 남구 감만동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,특수,남,62세,상해없음,승용,남,64세,경상
2022030700100265,2022년 3월 7일 16시,월요일,부산광역시 부산진구 가야동,경상사고,0,0,1,0,차대사람 - 기타,중앙선침범,건조,기타,단일로 - 기타,개인형이동수단(PM),남,21세,상해없음,보행자,여,43세,경상
2022030700100345,2022년 3월 7일 19시,월요일,부산광역시 부산진구 전포동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,62세,상해없음,보행자,남,65세,중상
2022030700100346,2022년 3월 7일 19시,월요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,72세,상해없음,자전거,남,28세,경상
2022030700100347,2022년 3월 7일 19시,월요일,부산광역시 강서구 명지동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,39세,상해없음,승용,남,73세,경상
2022030700100371,2022년 3월 7일 20시,월요일,부산광역시 연제구 연산동,중상사고,0,1,0,0,차대차 - 기타,차로위반,건조,맑음,교차로 - 교차로안,승용,남,47세,상해없음,이륜,남,49세,중상
2022030700100397,2022년 3월 7일 22시,월요일,부산광역시 남구 대연동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,68세,상해없음,보행자,남,32세,중상
2022030700100418,2022년 3월 7일 23시,월요일,부산광역시 연제구 연산동,중상사고,0,1,2,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,65세,기타불명,승용,남,59세,경상
2022030800100001,2022년 3월 8일 00시,화요일,부산광역시 부산진구 양정동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,72세,상해없음,승용,남,29세,경상
